Index,POP,Hsc 40,Hsc 40.1,Hsc 24,Hsc 24.1,Hsc 20,Hsc 20.1,Hsc11,Hsc11.1,Hsc59,Hsc59.1,Hsc28,Hsc28.1,Hsc44,Hsc44.1,Hsc17,Hsc17.1,Hsc 48,Hsc 48.1,Hsc 42,Hsc 42.1,Hsc 49,Hsc 49.1,Hsc 31,Hsc 31.1,Hsc 62,Hsc 62.1,isnull_Hsc40,isnull_Hsc24,isnull_Hsc20,isnull_Hsc11,isnull_Hsc59,isnull_Hsc28,isnull_Hsc44,isnull_Hsc17,isnull_Hsc48,isnull_Hsc42,isnull_Hsc49,isnull_Hsc31,isnull_Hsc62
STA_12_1,1,260,288,207,209,200,222,154,154,236,236,192,276,182,198,190,200,152,162,251,253,155,179,175,175,252,254,0,0,0,0,0,0,0,0,0,0,0,1,1
STA_12_2,1,260,264,193,193,200,214,150,150,236,236,264,411,182,198,194,194,154,154,253,255,155,167,175,175,246,251,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_3,1,288,316,193,209,200,214,150,154,234,236,192,192,186,198,190,204,154,154,251,253,167,183,175,175,249,253,0,0,0,0,0,0,0,0,0,0,0,1,1
STA_12_4,1,236,268,207,211,200,216,150,150,234,238,192,237,186,198,184,194,150,156,253,255,155,167,175,175,250,258,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_5,1,272,284,197,199,200,200,150,154,240,240,192,306,182,206,192,194,154,154,251,255,167,187,175,175,250,254,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_6,1,292,316,193,211,200,222,150,154,238,238,222,258,182,182,192,192,154,154,251,253,163,171,175,175,250,256,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_7,1,228,240,197,201,214,216,150,150,236,238,192,252,186,186,190,190,150,150,253,253,175,211,175,175,250,250,0,0,0,0,0,0,0,0,0,0,0,1,0
STA_12_8,1,252,252,193,211,202,220,148,160,238,238,192,192,186,170,192,192,154,154,253,253,163,203,175,175,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_10,1,304,304,193,211,200,214,148,154,236,236,192,237,194,194,186,186,154,154,253,253,183,199,175,175,251,254,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_11,1,260,320,193,207,214,200,150,154,240,238,246,465,178,190,186,192,154,154,251,253,167,215,175,175,248,250,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_12,1,244,300,207,211,200,220,150,164,236,238,192,192,190,190,192,192,154,154,251,253,167,171,175,175,247,252,0,0,0,0,0,0,0,0,0,0,0,1,1
STA_12_13,1,312,372,209,215,200,200,154,154,234,238,192,228,170,182,190,192,154,154,251,251,167,175,175,175,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_14,1,297,300,193,201,200,212,150,154,238,240,192,285,182,186,186,208,154,154,253,253,183,199,175,175,246,250,1,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_15,1,248,276,193,201,202,210,150,150,236,238,243,399,182,190,192,196,154,154,251,253,167,167,175,175,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_16,1,292,313,193,193,210,218,150,150,234,238,246,252,170,198,198,198,150,154,251,255,175,175,175,175,250,250,1,0,1,0,0,0,0,0,0,0,0,0,0
STA_12_17,1,280,372,199,215,200,214,150,152,236,238,192,192,174,194,184,196,150,154,253,253,179,179,175,175,250,253,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_18,1,300,360,203,209,214,214,150,150,234,236,192,282,190,194,186,194,152,154,251,251,163,167,175,175,242,248,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_19,1,304,340,193,193,220,202,150,152,236,240,192,309,178,190,192,194,154,154,253,261,167,211,175,175,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_20,1,252,252,199,206,200,200,154,154,236,236,246,297,186,198,192,195,154,154,253,253,167,175,175,175,246,252,0,1,0,0,0,0,0,1,0,0,0,0,1
STA_12_21,1,252,252,197,207,208,220,148,148,234,238,192,252,190,198,194,194,150,150,251,253,163,171,175,175,252,266,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_22,1,272,296,193,203,214,214,164,164,236,238,192,195,182,182,192,192,154,154,251,253,179,195,175,175,250,252,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_23,1,276,316,193,201,212,216,150,154,234,250,192,192,186,186,184,196,154,154,251,253,167,187,175,175,250,252,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_24,1,280,280,193,193,200,212,154,154,238,248,192,195,178,182,192,194,154,158,251,253,187,207,175,175,250,251,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_25,1,260,320,193,207,214,202,150,154,240,240,246,465,178,190,186,192,154,154,251,253,167,215,175,175,248,250,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_26,1,296,376,197,209,206,210,150,154,236,248,192,192,186,190,186,192,150,154,251,253,163,215,175,175,246,248,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_27,1,344,352,193,193,214,214,154,162,236,238,192,246,190,198,192,192,154,154,255,255,179,203,175,175,250,253,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_28,1,296,296,193,209,212,226,150,150,236,248,192,192,182,182,192,192,154,158,251,251,167,171,175,175,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_29,1,280,320,193,203,200,212,150,154,236,238,192,219,170,182,184,190,154,156,251,253,167,179,175,175,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_30,1,292,316,197,209,214,244,150,150,240,240,192,243,190,194,192,196,150,154,253,255,171,195,175,175,248,252,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_12_31,1,308,312,193,209,202,202,150,150,234,240,192,384,178,198,190,200,154,154,251,253,179,215,175,175,247,248,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_32,1,324,332,197,217,210,220,150,150,238,238,237,492,178,182,192,196,154,154,251,253,163,191,175,175,249,252,0,0,0,0,0,0,0,0,0,0,0,0,1
STA_12_33,1,272,272,193,197,214,202,150,154,238,240,192,249,182,202,198,208,153,154,251,253,168,177,175,175,248,250,0,0,0,0,0,0,0,0,1,0,1,0,0
